label,leftPaddle_y,rightPaddle_y,ball_x,ball_y,ball_dx,ball_dy,ball_x_prev,ball_y_prev,user
stop,137.532,0,375.417712,81.066815,-279.092,-94.271,389.620192,85.843424,joey
up,137.532,0,347.788504,71.734886,-279.884,-95.063,359.522464,75.706364,joey
stop,107.04,0,304.65488,57.063696,-281.116,-96.295,319.52032,62.133623,joey
up,107.04,0,235.637768,33.327729,-283.076,-98.255,248.351888,37.724904,joey
stop,66.648,0,177.807032,17,-284.708,99.887,192.295928,18.263502,joey
up,66.648,0,64.305736,57.285575,-287.884,103.063,78.669936,52.142425,joey
stop,17.148,0,31.77368,85.9700275,289.884,157.3905,17,77.953516,joey
down,17.148,0,118.8066,133.387391,292.276,159.7825,104.49468,125.5676525,joey
stop,96.942,0,237.243464,198.4293745,295.5,163.0065,221.88828,189.9638525,joey
down,96.942,0,266.24088,214.4424275,296.284,163.7905,251.43668,206.2629025,joey
stop,166.242,0,370.43028,272.2591025,299.084,166.5905,356.382168,264.438185,joey
down,166.242,0,400.678568,289.125547,299.892,167.3985,386.292968,281.099635,joey
stop,255.342,0,536.439968,365.264872,303.492,170.9985,521.275368,356.724947,joey
down,255.342,0,581.74908,390.8324525,304.684,172.1905,566.829168,382.404722,joey
stop,325.236,0,560.823152,434.5149992,-307.508,88.31925,576.168552,430.1090367,joey
down,325.236,0,484.41376,456.6641892,-309.492,90.30325,499.550056,452.248934,joey
stop,375.924,0,405.026864,449.0266548,-311.54,-92.35125,422.125264,454.0696735,joey
up,375.924,0,344.825408,431.1286275,-313.084,-93.89525,360.449608,435.79339,joey
stop,345.828,0,297.205856,416.8257655,-314.3,-95.11125,313.517008,421.7391025,joey
up,345.828,0,249.716432,402.4338427,-315.508,-96.31925,265.147512,407.124674,joey
stop,315.93,0,202.044648,387.85956,-316.716,-97.52725,217.850448,392.7059225,joey
up,315.93,0,59.212304,343.4429647,-320.308,-101.11925,75.197704,348.4689272,joey
stop,256.53,0,66.280688,320.6928884,322.708,-52.371625,50.155288,323.2814696,joey
up,256.53,0,471.042408,190.6727415,-339.884,-69.547625,487.667912,194.0517631,joey
up,137.532,0,265.568496,147.6709909,-344.692,-74.355625,282.773096,151.3587721,joey
stop,127.83,0,248.688192,144.0371692,-345.084,-74.747625,265.568496,147.6709909,joey
up,127.83,0,178.554016,128.7812774,-346.708,-76.371625,195.513896,132.494675,joey
stop,58.926,0,57.554016,101.8583359,-349.492,-79.155625,74.301984,105.6301579,joey
down,58.926,0,88.355312,73.56056425,352.316,-81.979625,69.341912,77.952472,joey
stop,117.534,0,192.991312,49.06104325,354.684,-84.347625,175.267112,53.2484245,joey
down,117.534,0,409.758296,35.11864313,359.54,89.203625,390.3548,30.31331137,joey
stop,136.146,0,443.5904,43.53912788,360.292,89.955625,425.5858,39.05134663,joey
down,136.146,0,52.130336,309.8499159,159.876,159.876,44.306016,302.0255959,joey
stop,274.548,0,165.838064,423.5576439,165.468,165.468,158.069904,415.7894839,joey
down,274.548,0,216.174216,454.802496,167.884,-167.884,207.957504,463,joey
stop,323.652,0,258.055464,413.019872,169.868,-169.868,250.080504,420.97716,joey
up,323.652,0,292.189064,378.966416,171.468,-171.468,284.138904,386.998904,joey
stop,233.958,0,370.684904,300.65324,175.092,-175.092,361.590936,309.725576,joey
up,233.958,0,405.333264,266.082696,176.668,-176.668,397.038704,274.359584,joey
stop,204.258,0,431.923464,239.552608,177.868,-177.868,423.217536,248.239328,joey
up,204.258,0,440.826864,230.669208,178.268,-178.268,431.923464,239.552608,joey
stop,95.358,0,540.084264,131.632704,182.668,-182.668,531.872304,139.828464,joey
down,95.358,0,558.383888,17,-189.068,95.914,567.807288,20.163158,joey
stop,154.758,0,501.423984,46.1342,-191.468,98.314,510.967384,41.2285,joey
down,154.758,0,481.702816,56.302978,-192.292,99.138,491.287416,51.356078,joey
stop,213.762,0,424.16316,86.201318,-194.676,101.522,434.060424,81.0341,joey
down,213.762,0,306.158632,148.554518,-199.476,106.322,315.507496,143.56622,joey
stop,243.462,0,276.21016,164.592818,-200.676,107.522,286.413424,159.1196,joey
down,243.462,0,61.094048,282.132778,-209.092,115.938,71.726528,276.230344,joey
stop,282.468,0,19.825376,305.1278,-210.668,117.514,30.119296,299.379218,joey
up,282.468,0,353.579112,424.381064,223.484,-130.33,342.414912,430.867564,joey
stop,242.67,0,398.661,398.10397,225.092,-131.938,387.641096,404.54012,joey
up,242.67,0,432.5148,378.283414,226.292,-133.138,421.2102,384.910314,joey
stop,182.874,0,501.2198,337.832874,228.708,-135.554,488.881232,345.117798,joey
up,182.874,0,575.6016,248.421757,-234.708,-71.589,588.007416,252.182266,joey
stop,114.168,0,493.813944,223.236394,-237.484,-74.365,505.421848,226.851467,joey
up,114.168,0,313.751296,165.512996,-243.484,-80.365,325.6532,169.422069,joey
stop,64.272,0,252.24096,145.108648,-245.5,-82.381,264.48596,149.197698,joey
up,64.272,0,166.214952,116.011171,-248.292,-85.173,176.374752,119.483092,joey
stop,24.474,0,116.227464,98.810602,-249.9,-86.781,128.692464,103.119652,joey
down,24.474,0,157.415,17,257.5,94.381,144.55,17.827974,joey
stop,93.774,0,248.03,50.52335,260.3,97.181,234.505216,45.480754,joey
down,93.774,0,313.355,75.0686,262.3,99.181,299.988104,70.020773,joey
stop,153.372,0,392.669704,105.284485,264.708,101.589,379.444304,100.215035,joey
down,153.372,0,581.373032,207.8236745,-273.092,55.5985,594.997632,205.0537495,joey
stop,242.076,0,458.403816,233.5346185,-276.676,59.1825,472.207616,230.5854935,joey
down,242.076,0,374.604512,251.7725495,-279.092,61.5985,389.084848,248.5802435,joey
stop,301.476,0,290.63712,270.6120995,-281.492,63.9985,305.242256,267.2949935,joey
down,301.476,0,104.786568,360.5701495,291.892,74.3985,89.619,356.7122435,joey
stop,361.272,0,193.302768,383.4033125,294.308,76.8145,177.127928,379.190615,joey
down,361.272,0,370.1312,430.6056185,299.076,81.5825,355.48608,426.61768,joey
stop,408,0,444.849128,451.167665,301.068,83.5745,431.309168,447.4149125,joey
up,408,0,551.0168,446.131657,303.876,-86.3825,535.833,450.420782,joey
stop,367.608,0,613.173968,428.426507,305.508,-88.0145,597.603464,432.8840345,joey
up,367.608,0,546.38124,402.140919,-307.876,-90.3825,560.824904,406.3623885,joey
stop,317.514,0,468.335528,379.1210625,-309.9,-92.4065,485.035136,384.0760215,joey
up,317.514,0,406.896928,360.7461755,-311.484,-93.9905,422.441128,365.4157005,joey
stop,248.214,0,297.527912,327.4998845,-314.284,-96.7905,313.525184,332.404988,joey
up,248.214,0,138.31612,277.9048165,-318.316,-100.8225,154.519024,283.015552,joey
stop,199.704,0,60.184992,253.059596,-320.276,-102.7825,74.892296,257.762199,joey
down,199.704,0,92.511216,255.2120957,161.884,161.884,84.104064,246.8049437,joey
stop,259.104,0,141.436416,304.1372957,164.284,164.284,133.068336,295.7692157,joey
down,259.104,0,174.121464,336.8223437,165.868,165.868,166.003536,328.7044157,joey
stop,299.694,0,208.292504,370.9933837,167.508,167.508,199.425816,362.1266957,joey
down,299.694,0,241.277736,403.9786157,169.076,169.076,233.34,396.0408797,joey
stop,349.788,0,284.31,447.0108797,171.1,171.1,275.252936,437.9538157,joey
down,349.788,0,309.548136,454.4162,172.276,-172.276,300.944336,463,joey
stop,399.09,0,352.692864,411.370888,174.268,-174.268,344.163336,419.881208,joey
up,399.09,0,370.159664,393.944088,175.068,-175.068,361.416264,402.667488,joey
stop,289.2,0,468.554504,295.773608,179.508,-179.508,459.051816,305.253824,joey
up,289.2,0,495.209304,269.177352,180.692,-180.692,486.004416,278.361432,joey
stop,239.502,0,540.815,223.67264,182.7,-182.7,531.143136,233.322032,joey
up,239.502,0,549.410736,215.094576,183.076,-183.076,540.815,223.67264,joey
stop,180.3,0,604.508064,160.116856,185.468,-185.468,596.170104,168.438616,joey
up,180.3,0,623,141.384912,-186.276,-186.276,614.720904,149.928216,joey
stop,100.506,0,547.443576,65.828488,-189.5,-189.5,557.265128,75.65004,joey
down,100.506,0,490.162576,17,-191.908,191.908,499.918672,18.303584,joey
stop,209.01,0,384.01472,123.3668,-196.292,196.292,393.79932,113.5622,joey
down,209.01,0,364.77812,142.641832,-197.076,197.076,374.60192,132.798032,joey
down,327.81,0,245.332856,262.327432,-201.876,201.876,254.995256,252.6466,joey
