,label,leftPaddle_y,ball_x,ball_y,ball_dx,ball_dy,ball_x_prev,ball_y_prev,user
106,stop,180.3,217.60508,306.69561600000003,-177.484,-177.484,226.44928,315.53981600000003,joey
107,down,180.3,217.60508,306.69561600000003,-177.484,-177.484,226.44928,315.53981600000003,ion
108,up,180.3,199.856696,288.947232,-178.28400000000002,-178.28400000000002,208.917968,298.008504,joey
109,stop,180.3,199.856696,288.947232,-178.28400000000002,-178.28400000000002,208.917968,298.008504,ion
110,up,61.302,91.50408,180.594616,-183.092,-183.092,100.81056,189.901096,joey
111,up,61.302,91.50408,180.594616,-183.092,-183.092,100.81056,189.901096,ion
112,stop,61.302,91.50408,180.594616,-183.092,-183.092,100.81056,189.901096,joey
113,down,61.302,111.15531200000001,26.5242,190.68400000000003,190.68400000000003,101.631112,17.0,joey
114,down,61.302,111.15531200000001,26.5242,190.68400000000003,190.68400000000003,101.631112,17.0,ion
115,stop,90.804,139.656032,55.024919999999995,191.87599999999998,191.87599999999998,130.4552,45.824088,joey
116,up,90.804,139.656032,55.024919999999995,191.87599999999998,191.87599999999998,130.4552,45.824088,ion
117,down,90.804,139.656032,55.024919999999995,191.87599999999998,191.87599999999998,130.4552,45.824088,joey
118,down,210.0,256.615,171.98388799999998,196.692,196.692,246.59411200000002,161.963,joey
119,down,210.0,256.615,171.98388799999998,196.692,196.692,246.59411200000002,161.963,ion
120,down,229.602,276.126712,191.4956,197.484,197.484,266.262512,181.6314,joey
121,down,239.7,286.2088,201.577688,197.892,197.892,276.126712,191.4956,joey
122,down,259.5,306.038,221.40688799999998,198.692,198.692,295.716832,211.08572,joey
123,down,279.3,325.9472,241.31608799999998,199.49200000000002,199.49200000000002,315.9826,231.351488,joey
124,down,279.3,325.9472,241.31608799999998,199.49200000000002,199.49200000000002,315.9826,231.351488,ion
125,down,289.2,335.9318,251.30068799999998,199.892,199.892,325.9472,241.31608799999998,joey
126,stop,289.2,335.9318,251.30068799999998,199.892,199.892,325.9472,241.31608799999998,ion
127,down,309.198,356.161696,271.530584,200.7,200.7,345.736112,261.105,joey
128,stop,318.9,366.0056,281.374488,201.092,201.092,356.161696,271.530584,joey
129,stop,318.9,366.0056,281.374488,201.092,201.092,356.161696,271.530584,ion
130,up,318.9,506.32575999999995,272.44273599999997,-215.5,-215.5,517.07076,283.187736,joey
131,up,200.1,375.825808,141.94278400000002,-220.3,-220.3,386.810808,152.927784,joey
132,up,190.2,364.820808,130.93778400000002,-220.7,-220.7,375.825808,141.94278400000002,joey
133,up,190.2,364.820808,130.93778400000002,-220.7,-220.7,375.825808,141.94278400000002,ion
134,up,170.202,342.530304,108.64728000000001,-221.50799999999998,-221.50799999999998,354.456744,120.57372,joey
135,up,170.202,342.530304,108.64728000000001,-221.50799999999998,-221.50799999999998,354.456744,120.57372,ion
136,up,150.798,320.822536,86.939512,-222.292,-222.292,331.464904,97.58188,joey
137,up,140.7,309.496048,75.613024,-222.7,-222.7,320.822536,86.939512,joey
