label,leftPaddle_y,ball_x,ball_y,ball_dx,ball_dy,ball_x_prev,ball_y_prev
up,268.014,375.0573920000006,162.42161949999974,-279.49199999999894,65.2282499999999,389.2802720000006,159.10538274999973
stop,198.318,276.3223360000009,185.87757949999968,-282.30799999999886,68.04424999999992,290.40773600000085,182.48536699999968
down,198.318,75.13679999999975,269.18677024999954,291.4839999999987,77.22024999999995,60.57259999999981,265.3357577499996
stop,228.61200000000002,119.82748799999953,281.0951044999995,292.7079999999987,78.44424999999995,104.9097839999996,277.1048517499995
down,228.61200000000002,325.7881999999986,337.7139827499994,298.28399999999857,84.02024999999999,311.18188799999865,333.60659449999935
stop,298.70400000000006,431.8819999999981,367.95841524999935,301.11599999999856,86.85225,415.6333999999982,363.28005774999934
down,298.70400000000006,506.19859999999767,389.5661327499993,303.0839999999985,88.82025,491.05439999999777,385.1351202499993
stop,357.906,597.1783199999974,416.4809914999993,305.47599999999846,91.21225000000001,583.1348879999974,412.2936919999993
up,357.906,154.85840800000219,354.03909349999975,-318.29199999999827,-104.02825000000006,170.4259040000021,359.10766574999974
stop,338.502,123.66580800000233,343.8443409999997,-319.07599999999826,-104.81225000000006,138.95380800000225,348.84768099999974
up,338.502,43.10638400000278,317.27938199999966,-321.0919999999982,-106.82825000000007,59.13098400000269,322.5907944999997
stop,249.6000000000001,587.9873519999998,252.6790314676281,-159.876,159.876,595.9511519999998,244.6952314676281
down,249.6000000000001,441.2198319999998,399.80743146762785,-167.07599999999996,167.07599999999996,449.21183199999984,391.79699946762787
stop,319.09800000000007,382.2241759999998,458.94391146762786,-169.88399999999996,169.88399999999996,390.8570479999998,450.29023146762785
up,319.09800000000007,339.77447199999983,428.86500800000005,-171.87599999999995,-171.87599999999995,347.6553759999998,436.74591200000003
up,200.10000000000002,235.27347999999975,324.364016,-176.6839999999999,-176.6839999999999,244.07767999999976,333.168216
up,180.3,217.60507999999976,306.695616,-177.48399999999992,-177.48399999999992,226.44927999999976,315.539816
stop,180.3,217.60507999999976,306.695616,-177.48399999999992,-177.48399999999992,226.44927999999976,315.539816
up,180.3,199.85669599999974,288.94723200000004,-178.2839999999999,-178.2839999999999,208.91796799999975,298.008504
up,61.30199999999998,91.5040799999998,180.5946160000001,-183.09199999999987,-183.09199999999987,100.8105599999998,189.90109600000008
stop,61.30199999999998,91.5040799999998,180.5946160000001,-183.09199999999987,-183.09199999999987,100.8105599999998,189.90109600000008
down,61.30199999999998,111.15531199999991,26.524199999999993,190.68399999999983,190.68399999999983,101.63111199999992,17
stop,90.80399999999999,139.6560319999999,55.02491999999997,191.8759999999998,191.8759999999998,130.4551999999999,45.82408799999998
down,90.80399999999999,139.6560319999999,55.02491999999997,191.8759999999998,191.8759999999998,130.4551999999999,45.82408799999998
down,210,256.6149999999997,171.98388799999987,196.6919999999998,196.6919999999998,246.59411199999974,161.96299999999988
down,229.602,276.1267119999997,191.49559999999983,197.4839999999998,197.4839999999998,266.26251199999973,181.63139999999984
down,239.7,286.2087999999997,201.5776879999998,197.8919999999998,197.8919999999998,276.1267119999997,191.49559999999983
down,259.5,306.0379999999996,221.40688799999978,198.69199999999978,198.69199999999978,295.71683199999967,211.08571999999978
down,279.29999999999995,325.94719999999955,241.31608799999975,199.4919999999998,199.4919999999998,315.9825999999996,231.35148799999976
down,289.19999999999993,335.93179999999955,251.30068799999972,199.8919999999998,199.8919999999998,325.94719999999955,241.31608799999975
down,309.1979999999999,356.16169599999955,271.5305839999997,200.6999999999998,200.6999999999998,345.7361119999996,261.10499999999973
stop,318.8999999999999,366.00559999999956,281.3744879999997,201.09199999999979,201.09199999999979,356.16169599999955,271.5305839999997
up,318.8999999999999,506.32575999999995,272.4427360000001,-215.49999999999974,-215.49999999999974,517.07076,283.1877360000001
up,200.09999999999997,375.8258080000002,141.9427840000002,-220.29999999999973,-220.29999999999973,386.81080800000024,152.92778400000017
up,190.19999999999996,364.8208080000002,130.9377840000002,-220.69999999999973,-220.69999999999973,375.8258080000002,141.9427840000002
up,170.20199999999994,342.53030400000017,108.64728000000022,-221.50799999999973,-221.50799999999973,354.4567440000002,120.57372000000021
up,150.79799999999994,320.8225360000001,86.93951200000025,-222.29199999999972,-222.29199999999972,331.46490400000016,97.58188000000024
up,140.69999999999993,309.49604800000014,75.61302400000025,-222.6999999999997,-222.6999999999997,320.8225360000001,86.93951200000025
up,121.09799999999993,287.4488480000001,53.56582400000028,-223.4919999999997,-223.4919999999997,299.0379840000001,65.15496000000027
up,101.29799999999993,265.0996640000002,31.216640000000314,-224.2919999999997,-224.2919999999997,276.06116000000014,42.1781360000003
stop,91.00199999999992,253.44729600000022,19.56427200000033,-224.70799999999969,-224.70799999999969,265.0996640000002,31.216640000000314
down,91.00199999999992,219.93620800000025,39.54999999999997,-225.8999999999997,225.8999999999997,231.20120800000024,28.264999999999986
stop,170.39999999999992,128.86800800000034,130.77910399999985,-229.10799999999966,229.10799999999966,140.52130400000033,119.10499999999986
down,170.39999999999992,106.18632000000038,153.4999999999998,-229.89999999999966,229.89999999999966,117.65132000000035,142.01499999999982
stop,259.5,2.101352000000516,227.67416599999999,-233.49999999999966,-350.05399999999946,13.5140400000005,244.79799999999997
down,259.5,481.65216799999973,238.09750507799686,-165.12399999999997,165.12399999999997,489.87836799999974,229.85130507799687
stop,318.9,431.8750159999996,287.99470507799685,-167.52399999999994,167.52399999999994,440.22121599999963,279.62850507799686
up,318.9,305.14597599999973,415.0201850779966,-173.4839999999999,173.4839999999999,313.4455599999998,406.7021690779966
stop,269.004,261.2757359999997,458.99216907799644,-175.4999999999999,175.4999999999999,269.4977279999997,450.7525050779965
up,269.004,190.41796799999977,400.732128,-178.70799999999983,-178.70799999999983,199.50086399999978,409.815024
stop,249.20400000000004,172.54716799999977,382.86132799999996,-179.50799999999984,-179.50799999999984,181.49256799999978,391.80672799999996
up,249.20400000000004,136.7460079999998,347.060168,-181.09999999999982,-181.09999999999982,145.7710079999998,356.08516799999995
stop,199.90200000000002,91.5035999999998,301.81775999999996,-183.09199999999984,-183.09199999999984,100.0824159999998,310.396576
up,199.90200000000002,36.15142399999986,246.46558399999992,-185.49999999999983,-185.49999999999983,44.84341599999985,255.15757599999992
stop,160.50000000000003,26.15790399999999,214.0460539999999,187.0919999999998,-93.7419999999999,17,218.61059999999992
down,160.50000000000003,326.15950399999946,59.545973999999966,199.5079999999997,-106.15799999999993,315.7959039999995,65.03374199999996
stop,190.00200000000004,355.97499999999934,43.698867999999976,200.69999999999968,-107.34999999999994,345.94999999999936,49.036367999999975
up,190.00200000000004,183.08999999999997,340.66626400000007,166.29999999999995,-166.29999999999995,174.619104,349.11635200000006
stop,150.00600000000003,216.84581599999993,306.99212800000004,167.91599999999997,-167.91599999999997,207.95750399999994,315.857968
up,150.00600000000003,267.2399999999999,256.71636,170.29999999999998,-170.29999999999998,258.7349999999999,265.20136
up,31.205999999999996,370.8599999999998,153.33650400000005,175.0999999999999,-175.0999999999999,362.28970399999974,161.88759200000004
up,12,388.2341039999997,136.00170400000007,175.8919999999999,-175.8919999999999,379.97601599999973,144.24212000000006
stop,12,388.2341039999997,136.00170400000007,175.8919999999999,-175.8919999999999,379.97601599999973,144.24212000000006
down,12,486.1847039999995,38.27126400000012,180.29199999999986,-180.29199999999986,477.5399039999995,46.897632000000115
stop,61.49999999999999,531.5077039999993,34.82619999999999,182.29199999999983,182.29199999999983,522.5849999999994,25.903495999999993
down,61.49999999999999,566.682472,183.59719999999982,-188.70799999999977,188.70799999999977,576.46284,173.79519999999982
down,180.498,452.0655920000002,298.45551199999966,-193.5159999999997,193.5159999999997,462.2882320000002,288.21039999999965
down,199.506,433.48820000000023,317.06991199999965,-194.2839999999997,194.2839999999997,442.20668000000023,308.3352319999996
down,209.60399999999998,423.59012000000024,326.9887999999996,-194.6919999999997,194.6919999999997,433.48820000000023,317.06991199999965
down,229.998,403.5368800000003,347.08451199999956,-195.5159999999997,195.5159999999997,413.28268000000025,337.3187119999996
down,239.898,393.77108000000027,356.87031199999956,-195.9159999999997,195.9159999999997,403.5368800000003,347.08451199999956
down,259.5,374.3754000000003,376.30519999999956,-196.7079999999997,196.7079999999997,383.9852800000003,366.67611199999953
down,278.904,355.09801600000037,395.6209999999996,-197.4919999999997,197.4919999999997,364.74631200000033,385.9534959999996
down,299.298,334.75634400000035,416.00511199999954,-198.3159999999997,198.3159999999997,344.83924800000034,405.90139999999957
down,309.396,324.6526320000004,426.1296319999995,-198.72399999999968,198.72399999999968,334.75634400000035,416.00511199999954
down,328.602,305.3764400000004,445.4434959999994,-199.4999999999997,199.4999999999997,315.3214400000004,435.47849599999944
stop,338.89799999999997,295.0132560000004,455.82831199999936,-199.91599999999968,199.91599999999968,305.3764400000004,445.4434959999994
